,size,method,time
0,10,gmm,6.708357095718384
1,10,k_means,2.237438201904297
2,10,ward,43.349297761917114
3,13,gmm,11.31717586517334
4,13,k_means,2.5680599212646484
5,13,ward,64.67590594291687
6,16,gmm,17.507254123687744
7,16,k_means,2.1445729732513428
8,16,ward,39.34453821182251
9,21,gmm,16.59769916534424
10,21,k_means,5.102246046066284
11,21,ward,40.0678870677948
12,26,gmm,23.97784399986267
13,26,k_means,5.0147881507873535
14,26,ward,48.00191307067871
15,34,gmm,26.57296109199524
16,34,k_means,4.7307891845703125
17,34,ward,42.09048295021057
18,43,gmm,54.356224060058594
19,43,k_means,7.365588903427124
20,43,ward,45.46227407455444
21,55,gmm,36.474613189697266
22,55,k_means,4.924248695373535
23,55,ward,43.126948833465576
24,70,gmm,51.74973106384277
25,70,k_means,4.560402154922485
26,70,ward,39.94055509567261
27,89,gmm,94.82343196868896
28,89,k_means,10.402145862579346
29,89,ward,42.04722714424133
30,113,gmm,121.97245693206787
31,113,k_means,13.393614768981934
32,113,ward,47.72381114959717
33,144,gmm,133.30360198020935
34,144,k_means,14.675273180007935
35,144,ward,42.441787004470825
36,183,gmm,263.318745136261
37,183,k_means,14.32486081123352
38,183,ward,39.62406086921692
39,234,gmm,220.3930606842041
40,234,k_means,18.280292987823486
41,234,ward,38.73130917549133
42,298,gmm,319.16166830062866
43,298,k_means,15.444944143295288
44,298,ward,38.283031940460205
45,379,gmm,366.86210203170776
46,379,k_means,22.51105570793152
47,379,ward,38.83882808685303
48,483,gmm,393.6219141483307
49,483,k_means,34.90946102142334
50,483,ward,39.95175790786743
51,616,gmm,560.2924060821533
52,616,k_means,59.80231595039368
53,616,ward,38.41512703895569
54,785,gmm,800.774167060852
55,785,k_means,49.05619215965271
56,785,ward,38.54964876174927
57,1000,gmm,1002.1624438762665
58,1000,k_means,129.38957023620605
59,1000,ward,43.26262187957764
